Wavelength (nm),Intensity
5.225969848632812500e+02,0.000000000000000000e+00
5.228059692382812500e+02,0.000000000000000000e+00
5.230149536132812500e+02,0.000000000000000000e+00
5.232238769531250000e+02,0.000000000000000000e+00
5.234328613281250000e+02,0.000000000000000000e+00
5.236417846679687500e+02,0.000000000000000000e+00
5.238507690429687500e+02,0.000000000000000000e+00
5.240596923828125000e+02,0.000000000000000000e+00
5.242686767578125000e+02,0.000000000000000000e+00
5.244776000976562500e+02,0.000000000000000000e+00
5.246865844726562500e+02,0.000000000000000000e+00
5.248955078125000000e+02,2.312500000000000000e+00
5.251044921875000000e+02,2.312500000000000000e+00
5.253134155273437500e+02,2.312500000000000000e+00
5.255223999023437500e+02,5.385416507720947266e+00
5.257313232421875000e+02,5.333333492279052734e+00
5.259403076171875000e+02,5.260416507720947266e+00
5.261492309570312500e+02,5.218750000000000000e+00
5.263582153320312500e+02,5.968750000000000000e+00
5.265671386718750000e+02,1.298958301544189453e+01
5.267761230468750000e+02,1.304166698455810547e+01
5.269850463867187500e+02,1.314583301544189453e+01
5.271940307617187500e+02,1.328125000000000000e+01
5.274030151367187500e+02,1.420833301544189453e+01
5.276119384765625000e+02,1.820833396911621094e+01
5.278209228515625000e+02,1.813541603088378906e+01
5.280298461914062500e+02,1.573958301544189453e+01
5.282388305664062500e+02,0.000000000000000000e+00
5.284477539062500000e+02,0.000000000000000000e+00
5.286567382812500000e+02,0.000000000000000000e+00
5.288656616210937500e+02,0.000000000000000000e+00
5.290746459960937500e+02,0.000000000000000000e+00
5.292835693359375000e+02,0.000000000000000000e+00
5.294925537109375000e+02,0.000000000000000000e+00
5.297014770507812500e+02,0.000000000000000000e+00
5.299104614257812500e+02,1.216666698455810547e+01
5.301193847656250000e+02,1.216666698455810547e+01
5.303283691406250000e+02,1.216666698455810547e+01
5.305372924804687500e+02,1.216666698455810547e+01
5.307462768554687500e+02,1.216666698455810547e+01
5.309552001953125000e+02,1.216666698455810547e+01
5.311641845703125000e+02,1.216666698455810547e+01
5.313731079101562500e+02,1.216666698455810547e+01
5.315820922851562500e+02,1.791666603088378906e+01
5.317910156250000000e+02,1.791666603088378906e+01
5.320000000000000000e+02,1.791666603088378906e+01
5.322089843750000000e+02,1.791666603088378906e+01
5.324179077148437500e+02,1.791666603088378906e+01
5.326268920898437500e+02,1.791666603088378906e+01
5.328358154296875000e+02,1.791666603088378906e+01
5.330447998046875000e+02,1.791666603088378906e+01
